Slno,Inventory Name,Location,Place,Hardware Type,Make ,Model,Serial No,Spec,IP Address ,PO Details,Purchase Date,Bill Details,Vendor,"Warranty 
Period","Warranty 
Status", Status,
,CSDCLT-ACC01,UB1,Reception,CPU,Assembled,"ANT ESPORTS
(Gigabyte)",,,192.168.0.97,,,,,,,Working,
,CSDCLT-M01,,,MONITOR,DELL,S2421HN,G2LJXN3,"24"" flat Panel Monitor",,,,,,,,Working,
,CSDCLT-M02,,,MONITOR,DELL,S2421HN,13LJXN3,"24"" flat Panel Monitor",,,,,,,,Working,
,,,,KEYBOARD,DELL,KB216,,Wired Key Board,,,,,,,,Working,
,,,,MOUSE,DELL,MS116,,Opical Wired Mouse,,,,,,,,Working,
,CSDCLT-PH01,,,IP PHONE,Fanvil,X301P,Q2G122A000262,IP PHONE,192.168.0.96,,,,,,,Working,
,CSDCLT-Dir01,UB1,Dir Room,CPU,Assembled,"ANT ESPORTS
(Gigabyte)",,"Core i5 12th Generation
2x16GB RAM,1 TB SSD",,,,,,,,Working,
,CSDCLT-M25,,,MONITOR,DELL,S2421HN,C2LJXN3,"24"" flat Panel Monitor",,,,,,,,Working,
,CSDCLT-M26,,,MONITOR,DELL,S2421HN,82LJXN3,"24"" flat Panel Monitor",,,,,,,,Working,
,,,,KEYBOARD,DELL,KB216,,Wired Key Board,,,,,,,,Working,
,,,,MOUSE,DELL,MS116,,Opical Wired Mouse,,,,,,,,Working,
,CSDCLT-Dir02,UB1,Dir Room,CPU,DELL,Precision Tower 5810,F851MV1,Intel(R) Xeon(R)CPU E5-1607 SSD 240GB,,,,,,,,Working,
,CSDCLT-M29,,,MONITOR,DELL,S2421HN,5RVB1H3,"24"" flat Panel Monitor",,,,,,,,Working,
,CSDCLT-M30,,,MONITOR,DELL,S2421HN,JQVB1H3,"24"" flat Panel Monitor",,,,,,,,Working,
,,,,KEYBOARD,DELL,KB216,,Wired Key Board,,,,,,,,Working,
,,,,KEYBOARD,DELL,MS116,,Opical Wired Mouse,,,,,,,,Working,
,CSDCLT-IT01,GF, IT,CPU,DELL,Precision Tower 5810,31SFXH2,"Intel(R) Xeon(R)CPU E5-1607
SSD 240GB",192.168.0.122,,,,,,,Working,
,CSDCLT-M31,,,MONITOR,DELL,S2421HN,3WQ9023,"24"" flat Panel Monitor",,,,,,,,Working,
